Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
Paso de Tabla,-35.5257825,-72.4926961,hamlet,18.0,node,12177913520,paso de tabla
Paso del Rosario,-33.4828444,-71.4825369,locality,,node,214225170,paso del rosario
Paso del Soldado,-34.126298,-71.8969372,hamlet,121.0,node,5956301256,paso del soldado
Paso del Vuelto,-49.8219239,-73.8504492,locality,,node,6306414835,paso del vuelto
Paso El Agua,-36.6245162,-72.4650511,hamlet,11.0,node,1370096302,paso el agua
Paso El Comandante,-34.1787505,-70.9464991,locality,,node,10674872945,paso el comandante
Paso El Gato,-36.642329,-72.0594033,hamlet,27.0,node,6059533464,paso el gato
Paso El León,-41.5049265,-71.8572294,hamlet,47.0,node,1651138224,paso el leon
Paso Firme,-38.35796,-72.6062963,hamlet,39.0,node,11149213577,paso firme
Paso Hondo,-33.2226593,-71.47104,hamlet,286.0,node,6212102268,paso hondo
Paso Hua-Hum,-40.1004155,-71.6724098,locality,,node,4198085494,paso hua-hum
Paso inferior Paso Hondo,-37.0023515,-72.5424667,locality,,node,5615832156,paso inferior paso hondo
Paso Integración Austral,-52.1418182,-69.5198758,locality,,node,252616802,paso integracion austral
Paso Internacional Los Libertadores,-32.8281906,-70.0926437,locality,,node,290324298,paso internacional los libertadores
Paso Largo,-37.2010735,-72.9493261,hamlet,39.0,node,5735310044,paso largo
Paso Las Pataguas,-33.4134783,-71.6090369,hamlet,22.0,node,6268570060,paso las pataguas
Paso Las Piedras,-43.004171,-72.094187,hamlet,9.0,node,214229003,paso las piedras
Paso Laurita – Casas Viejas,-51.684678,-72.2986946,locality,,node,6164852914,paso laurita – casas viejas
Paso Macho,-36.548966,-71.1438561,locality,,node,11337168963,paso macho
Paso Mallo,-29.1,-70.15,locality,,node,214220469,paso mallo
Paso Malo,-35.7007187,-72.4654233,hamlet,21.0,node,5923511743,paso malo
Paso Marchant,-33.2664551,-70.3504607,locality,,node,214182767,paso marchant
Paso Moya,-35.4384173,-71.6475411,neighbourhood,,node,1628355014,paso moya
Paso Nevado,-35.720422,-71.1821704,hamlet,370.0,node,3163296074,paso nevado
